name,mean,stddev
2to3,0.3021222193997043,0.009459965825064046
async_generators,0.38026625049533325,0.011161895580952364
async_tree_none,0.36736713780555874,0.0117990975753005
async_tree_cpu_io_mixed,0.554740720296589,0.014213903333894379
async_tree_cpu_io_mixed_tg,0.538514809027159,0.01814835738438035
async_tree_eager,0.13425872730246435,0.004535200927105386
async_tree_eager_cpu_io_mixed,0.3561377181632755,0.007607694724537876
async_tree_eager_cpu_io_mixed_tg,0.3253006487657937,0.006281015458475005
async_tree_eager_io,0.7194095033997049,0.019843450264794723
async_tree_eager_io_tg,0.6860391274521438,0.018237336854773273
async_tree_eager_memoization,0.24484504535794258,0.008701284955611018
async_tree_eager_memoization_tg,0.21346473237887645,0.008433646436600639
async_tree_eager_tg,0.09680262682765411,0.002883418989482574
async_tree_io,0.7697320484556258,0.02279913329008527
async_tree_io_tg,0.74297986063951,0.024766895907528896
async_tree_memoization,0.4476617706318696,0.013027199132259814
async_tree_memoization_tg,0.4338710093055852,0.015909753569678678
async_tree_none_tg,0.34214800167052695,0.020081522462749433
asyncio_tcp,0.2741970566023762,0.010484195770724718
asyncio_tcp_ssl,0.7360279946937226,0.022032971193307885
asyncio_websockets,0.34322607759386303,0.007372116302390195
chameleon,0.008583268675526294,0.0002670910450511293
chaos,0.09710074350199041,0.002932903194245622
comprehensions,2.174861173879587e-05,2.070546071823981e-06
bench_mp_pool,0.004232312370246897,5.7293020476596806e-05
bench_thread_pool,0.001128481274099613,2.743881893312088e-05
coroutines,0.020227941991470287,0.0008726110303408234
coverage,0.08069280001994533,0.0025983332563735977
crypto_pyaes,0.07487433053514299,0.0021683105552823623
deepcopy,0.0004323508998216615,1.4935503579255352e-05
deepcopy_reduce,4.150846760116641e-06,1.0575218995246915e-07
deepcopy_memo,4.2279363327679675e-05,1.6285029236386403e-06
deltablue,0.006726823446418469,0.0003661604812828327
django_template,0.046887928614160045,0.0013897611083289213
docutils,2.1919157001694356,0.05720285901290398
dulwich_log,0.04915545900973181,0.0012534965269654517
fannkuch,0.3615118351609757,0.011878140403771905
float,0.11468127575935796,0.00659644578141048
create_gc_cycles,0.0006624950604115535,1.440530548387831e-05
gc_traversal,0.0021494305757490412,0.00010191772845378395
generators,0.029380753942920515,0.0013827394377142125
genshi_text,0.029998146210952353,0.0009309509977706422
genshi_xml,0.058384198051256435,0.0019238915081440711
go,0.23756471837405116,0.005716721907360313
hexiom,0.008668397376701857,0.000329255400321908
html5lib,0.0665330871900854,0.0024660498678179604
json_dumps,0.009401567688716266,0.00022403675050657412
json_loads,1.9039166450056654e-05,6.182343755615887e-07
logging_format,8.664387254005608e-06,3.2253403048485005e-07
logging_silent,1.4339314592308008e-07,5.576254635644075e-09
logging_simple,8.144396746653607e-06,2.887332605354767e-07
mako,0.012585861400778716,0.00035370512291458433
mdp,2.5895823786462038,0.07974709459971195
meteor_contest,0.08717170244587275,0.002761086568689473
nbody,0.18219078918530915,0.01143716684275925
nqueens,0.09066868093408023,0.003416292774321848
pathlib,0.016964013797890705,0.0004161273724732886
pickle,6.189378398744338e-06,1.5214863097797866e-07
pickle_dict,1.6482278718209878e-05,4.962441579522565e-07
pickle_list,2.3398145228744247e-06,7.776300046241176e-08
pickle_pure_python,0.00043210240059124775,1.4492907406279247e-05
pidigits,0.11577255864394828,0.0023985184427598393
pprint_safe_repr,1.033845591591671,0.027057843614260984
pprint_pformat,2.118558484063639,0.05580419799516316
pyflate,0.540000166464597,0.01622122376890834
python_startup,0.011184680566730094,0.00037207663990648836
python_startup_no_site,0.007786204110525432,0.0003318850869152553
raytrace,0.48020864006054276,0.013442937384455381
regex_compile,0.14957299341525263,0.005735789231606543
regex_dna,0.10479955115976433,0.0040552921689014825
regex_effbot,0.0019815166357633036,6.438364586790909e-05
regex_v8,0.015993959024005258,0.0005461447315868883
richards,0.061013417180705194,0.0025567496014395727
richards_super,0.07407221934408881,0.0025238400746221638
scimark_fft,0.31417215667897835,0.015356781605882816
scimark_lu,0.18273741227264206,0.006413824829521118
scimark_monte_carlo,0.10209113116143272,0.005548606026354623
scimark_sor,0.19146656669133033,0.005503705539742639
scimark_sparse_mat_mult,0.0053852782182123825,0.00036226059248949534
spectral_norm,0.1352577457514902,0.007940339359203326
sqlglot_normalize,0.14109406830587734,0.005053109902972973
sqlglot_optimize,0.06991625960799866,0.002424624977742524
sqlglot_parse,0.0020651779258817745,4.5600185424749344e-05
sqlglot_transpile,0.0023478621340473184,7.340870721642733e-05
sqlite_synth,1.9448247492448445e-06,5.7771976189220604e-08
sympy_expand,0.6503957738129732,0.023982977058261037
sympy_integrate,0.020406984538810017,0.0005176062673671374
sympy_sum,0.2095809277612716,0.004750301958359929
sympy_str,0.328942994796671,0.00826765773023482
telco,0.007997424951706003,0.00033173050473944254
tomli_loads,2.2968855596962383,0.05894815610203404
tornado_http,0.10059111285566663,0.0033817901964695034
typing_runtime_protocols,0.00018662656670661212,4.233880166153566e-06
unpack_sequence,1.2097850303642113e-07,6.3980303096108306e-09
unpickle,1.1586805519527844e-05,3.1482528758502916e-07
unpickle_list,3.2433872747598495e-06,1.5091217704672229e-07
unpickle_pure_python,0.00029141781761306143,1.0136162797109641e-05
xml_etree_parse,0.08308817812164003,0.0021015961616628
xml_etree_iterparse,0.07576706147325846,0.003093847763488686
xml_etree_generate,0.08721056595095433,0.0022190998590354964
xml_etree_process,0.07212973919231444,0.002069585092018661
