name,mean,stddev
2to3,0.24099404433897387,0.031452112346740974
async_generators,0.3675703889651534,0.028523187219594234
async_tree_none,0.33256112441886215,0.02832288109976893
async_tree_cpu_io_mixed,0.5614252941682935,0.04891500482166535
async_tree_cpu_io_mixed_tg,0.4865421368391253,0.06506187027127258
async_tree_eager,0.0811629265139345,0.0036446075976394494
async_tree_eager_cpu_io_mixed,0.2964021694147959,0.00907926960039919
async_tree_eager_cpu_io_mixed_tg,0.2675497493512618,0.006820065102521522
async_tree_eager_io,0.6807602345206154,0.04227647358649353
async_tree_eager_io_tg,0.6510540047078394,0.038316594086088285
async_tree_eager_memoization,0.18654541025947158,0.010621302786447212
async_tree_eager_memoization_tg,0.15152169759385287,0.005894119691032015
async_tree_eager_tg,0.055155864274517324,0.0015388119689804583
async_tree_io,0.6111308063225199,0.03334537520431712
async_tree_io_tg,0.6089769744624695,0.030154210863860154
async_tree_memoization,0.3250792013326039,0.035148700782603105
async_tree_memoization_tg,0.339648633019533,0.012528541894097961
async_tree_none_tg,0.24195935795626913,0.008980242759099156
asyncio_tcp,0.21056689453156044,0.008954189485120279
asyncio_tcp_ssl,0.6673000290330189,0.01191295605141145
asyncio_websockets,0.4029356619110331,0.04208831582125602
chameleon,0.006096921549518204,0.0009118909397333688
chaos,0.052969760114016634,0.007162376584973014
comprehensions,1.278791402275677e-05,1.7364974779763155e-06
bench_mp_pool,0.009231050539407685,0.0010132264122569067
bench_thread_pool,0.0009065905780820079,0.00014484104596804533
coroutines,0.01866400828002952,0.00247576939023237
coverage,0.07730588116295015,0.01375484313922802
crypto_pyaes,0.05517011007080631,0.007152932858423292
dask,0.30260557470222316,0.04119197579870915
deepcopy,0.0003078126309143651,5.4623459036045586e-05
deepcopy_reduce,3.059717846850181e-06,4.561338024793378e-07
deepcopy_memo,2.8317012543273752e-05,4.2253956564957605e-06
deltablue,0.0021896116208154127,0.00015396635302063888
django_template,0.03912411437777337,0.00989644094714976
docutils,1.656671450950671,0.18639857189109496
dulwich_log,0.03197119657997973,0.0008300609696970683
fannkuch,0.289358320288981,0.0536933268107303
float,0.05864229574799538,0.0022222866289076664
