name,mean,stddev
2to3,0.1920350158548293,0.007008682789318379
async_generators,0.31172763971456635,0.009189818843802666
async_tree_none,0.36698282742484784,0.015363477186170933
async_tree_cpu_io_mixed,0.526375231713367,0.03295858331816493
async_tree_cpu_io_mixed_tg,0.5263168532168493,0.020013609788918203
async_tree_eager,0.08004031390106926,0.002576646134352156
async_tree_eager_cpu_io_mixed,0.30327417101555815,0.009507970790318497
async_tree_eager_cpu_io_mixed_tg,0.2681760955718346,0.008958051872023894
async_tree_eager_io,1.008776812433886,0.026829509935498846
async_tree_eager_io_tg,0.9722648564726114,0.06869130650156346
async_tree_eager_memoization,0.1912375577337419,0.008774760341277884
async_tree_eager_memoization_tg,0.15619741715490817,0.004897001398259849
async_tree_eager_tg,0.05372865818402109,0.0016015678150988581
async_tree_io,0.8591986691385197,0.020069237381986283
async_tree_io_tg,0.8677260861344015,0.02756330663421525
async_tree_memoization,0.4922472192129741,0.14423756132474738
async_tree_memoization_tg,0.40291727690879875,0.023160248979517108
async_tree_none_tg,0.31519094373409945,0.014313455816369062
asyncio_tcp,0.21925244403925415,0.009707994173372843
asyncio_tcp_ssl,0.6643930239952169,0.011813399905034664
asyncio_websockets,0.3495421013562009,0.008687141406822536
chameleon,0.005151937604750856,0.0009673192461164654
chaos,0.04849495540450637,0.0019377920461671313
comprehensions,1.6018588387585925e-05,4.130615595577864e-07
bench_mp_pool,0.010396478352777194,0.0017957082064222205
bench_thread_pool,0.0009301198169547813,1.884592105889281e-05
coroutines,0.01677000361281292,0.0007396065791539623
coverage,0.034293815930141136,0.0013946402186873596
crypto_pyaes,0.05135687888056661,0.002100586745527104
dask,0.23596781867478664,0.011586192377180199
deepcopy,0.0002466862827153212,9.942732706494025e-06
deepcopy_reduce,2.4529524923266876e-06,1.0331278962456412e-07
deepcopy_memo,2.4330957769317742e-05,1.8752840908772226e-06
deltablue,0.002257945024272582,9.770510555350286e-05
django_template,0.027092314719144875,0.0008242107239231229
docutils,1.66088874800674,0.044249650876875136
dulwich_log,0.03359135406790301,0.0009880469284228985
fannkuch,0.27169804092263805,0.01311490903608447
float,0.06050790845183655,0.001941598355056728
create_gc_cycles,0.0007147561548511779,1.3415518261337846e-05
gc_traversal,0.0024906672874446182,0.00010818474468714111
generators,0.022617744449720097,0.0006701897992336556
genshi_text,0.016382091686925074,0.0004451879566961177
genshi_xml,0.03615420255130933,0.0011991021217984707
go,0.08637632536507832,0.0026519433485288385
hexiom,0.004220838206553405,0.00020400486468415098
html5lib,0.03679534753706927,0.0016925535918569082
json_dumps,0.007151270551791337,0.0002134866226258676
json_loads,1.5335807108840527e-05,8.193380540760894e-07
logging_format,4.844413455771246e-06,1.6728656509974254e-07
logging_silent,6.567127208256807e-08,2.76305715522634e-09
logging_simple,4.433146424484372e-06,1.6543509342232866e-07
mako,0.007204019060736755,0.00023439594710762197
mdp,1.9334285431929554,0.06877064021072912
meteor_contest,0.06860841507829415,0.002705615976124935
nbody,0.06482442346168682,0.0028285395952003865
nqueens,0.06752840753179043,0.0018004320432014412
pathlib,0.014760918596099753,0.0002828735005919623
pickle,6.310015495500921e-06,1.7520623553625788e-07
pickle_dict,1.6137845691067317e-05,3.346488329333746e-07
pickle_list,2.296265073198356e-06,5.628965978791064e-08
pickle_pure_python,0.00019997978468988247,7.996746366512569e-06
pidigits,0.11658973084607473,0.002501179867762672
pprint_safe_repr,0.562856035741667,0.014102090913464569
pprint_pformat,1.1356163000532737,0.030173651824591908
pyflate,0.29693813651101664,0.010342499548185802
python_startup,0.007907598783349385,0.00039384248375402885
python_startup_no_site,0.005748804731738346,0.00027338268426414905
raytrace,0.22352591197316846,0.006373565041338078
regex_compile,0.08783457097985471,0.002593450866628598
regex_dna,0.10826319790600489,0.003441035940753054
regex_effbot,0.001990861206916937,7.67357159215842e-05
regex_v8,0.013672636902386633,0.0006844927688323765
richards,0.0288515620137332,0.0010288397917102119
richards_super,0.03682583203481045,0.006919415138478363
scimark_fft,0.2405032744553561,0.05418181251068845
scimark_lu,0.08954158133710735,0.018531870096319656
scimark_monte_carlo,0.04518455725725896,0.0028908536080001564
scimark_sor,0.08496330804191529,0.0034394441606098213
scimark_sparse_mat_mult,0.0035150001306950194,0.00025668248513433466
spectral_norm,0.08149147587440288,0.010916341774111372
sqlalchemy_declarative,0.0794490887686455,0.0029535279299928844
sqlalchemy_imperative,0.008570264611868576,0.0005565747845852901
sqlglot_normalize,0.2307260680090015,0.00889919032863393
sqlglot_optimize,0.04058297124671905,0.0010921983876476565
sqlglot_parse,0.0009143090281213517,2.2540695558849647e-05
sqlglot_transpile,0.0011107574314640563,3.888740375014577e-05
sqlite_synth,1.618470540402465e-06,4.468695517855249e-08
sympy_expand,0.3106940981815569,0.011886813617695622
sympy_integrate,0.01343074467246576,0.0004918714295976298
sympy_sum,0.10450366445584222,0.021402981093260023
sympy_str,0.18710194111724074,0.005000567542832891
telco,0.005093477925038314,0.0001251863763121971
tomli_loads,1.5461195659668496,0.04980595621163869
tornado_http,0.06937588061361263,0.0027527318487913185
typing_runtime_protocols,0.00013395459301743056,5.284043931791507e-06
